"","region","scenario","Trade","ReactorCost","FuelCost","Technology","year","Material","demand_type","Units","annual_material_demand"
"91","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2085,"Silicon carbide","installation_demand","kt",0.00463303013625742
"92","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2090,"Copper","installation_demand","kt",0.40310791313566
"93","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2090,"Graphite","installation_demand","kt",2.45895827012753
"94","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2090,"Silicon carbide","installation_demand","kt",0.0040310791313566
"95","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2095,"Copper","installation_demand","kt",0.459432296662652
"96","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2095,"Graphite","installation_demand","kt",2.80253700964218
"97","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2095,"Silicon carbide","installation_demand","kt",0.00459432296662652
"98","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2100,"Copper","installation_demand","kt",0.454594581923042
"99","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2100,"Graphite","installation_demand","kt",2.77302694973056
"100","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2100,"Silicon carbide","installation_demand","kt",0.00454594581923042
"101","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2035,"Copper","installation_demand","kt",0.0344283918724756
"102","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - MSR",2035,"Fluorine","installation_demand","kt",0.00154583479507415
