"region","year","Technology_detailed","value","Technology","Units","scenario","Trade","ReactorCost","FuelCost"
"USA",2060,"Nuclear - SMR - BWR",98.2794166666667,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2060,"Nuclear - SMR - HTGR",64.2700555555556,"Nuclear - SMR - HTGR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2060,"Nuclear - SMR - MSR",24.8678638888889,"Nuclear - SMR - MSR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2060,"Nuclear - SMR - PWR modular",35.1243583333333,"Nuclear - SMR - PWR modular","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2060,"Nuclear - SMR - SFR",46.18025,"Nuclear - SMR - SFR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2065,"Nuclear - Large - PWR",533.944861111111,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2065,"Nuclear - Legacy",241.478444444444,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2065,"Nuclear - SMR - BWR",130.917111111111,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2065,"Nuclear - SMR - HTGR",84.6220555555556,"Nuclear - SMR - HTGR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2065,"Nuclear - SMR - MSR",32.1532583333333,"Nuclear - SMR - MSR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2065,"Nuclear - SMR - PWR modular",44.041225,"Nuclear - SMR - PWR modular","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2065,"Nuclear - SMR - SFR",59.11925,"Nuclear - SMR - SFR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2070,"Nuclear - Large - PWR",642.912833333333,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2070,"Nuclear - Legacy",46.7558333333333,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2070,"Nuclear - SMR - BWR",167.122805555556,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
